protocol,window,horizon,model,term,n,issue_days,first_issue,last_issue,mae,rmse,bias,direction_accuracy,skill,overlapping_issue_pairs,total_issue_pairs
rolling_observed_seller_data,7,14,basket,24,51,51,2026-05-23,2026-07-12,0.25069840154378664,0.30055936388636056,0.17365460685937262,0.47058823529411764,-0.35283234353329007,572,1275
rolling_observed_seller_data,7,14,basket,6,51,51,2026-05-23,2026-07-12,0.7208372530457814,0.8911581685541269,-0.3760892392212305,0.6078431372549019,0.09117720729736889,572,1275
rolling_observed_seller_data,7,14,basket,all,153,51,2026-05-23,2026-07-12,0.4259213442838387,0.5896377364815113,-0.0012194540857586838,0.5424836601307189,0.009634274893619232,572,1275
rolling_observed_seller_data,7,14,basket_abstain,12,51,51,2026-05-23,2026-07-12,0.30622837826194804,0.398144657440736,0.19877627010458182,0.5490196078431373,0.017634463998027483,572,1275
rolling_observed_seller_data,7,14,basket_abstain,24,51,51,2026-05-23,2026-07-12,0.25069840154378664,0.30055936388636056,0.17365460685937262,0.47058823529411764,-0.35283234353329007,572,1275
rolling_observed_seller_data,7,14,basket_abstain,6,51,51,2026-05-23,2026-07-12,0.7263469484315233,0.9014778731365471,-0.38159893460697236,0.6078431372549019,0.08423065073934832,572,1275
rolling_observed_seller_data,7,14,basket_abstain,all,153,51,2026-05-23,2026-07-12,0.4277579094124193,0.594843804490772,-0.003056019214339308,0.5424836601307189,0.005363835809778172,572,1275
rolling_observed_seller_data,7,14,gap,12,51,51,2026-05-23,2026-07-12,0.28709019607843134,0.31684568644626965,-0.1331176470588237,0.1568627450980392,0.07902880865517636,572,1275
rolling_observed_seller_data,7,14,gap,24,51,51,2026-05-23,2026-07-12,0.1706156862745098,0.23726060876299776,-0.135058823529412,0.5294117647058824,0.07931435826896593,572,1275
rolling_observed_seller_data,7,14,gap,6,51,51,2026-05-23,2026-07-12,0.7589999999999998,0.9939131435204713,-0.7222588235294117,0.3137254901960784,0.04306208267306788,572,1275
