id,horizon,cohort,protocol,cutoff,scope,term,training_basis,training_rows,training_days,test_rows,available
30|native|rolling_observed|2026-05-25|per_term|6,30,native,rolling_observed,2026-05-25,per_term,6,observed_seller_data,9,9,1,False
30|native|rolling_observed|2026-05-25|per_term|12,30,native,rolling_observed,2026-05-25,per_term,12,observed_seller_data,9,9,1,False
30|native|rolling_observed|2026-05-25|per_term|24,30,native,rolling_observed,2026-05-25,per_term,24,observed_seller_data,9,9,1,False
30|native|rolling_observed|2026-05-26|pooled|all,30,native,rolling_observed,2026-05-26,pooled,all,observed_seller_data,30,10,3,False
30|native|rolling_observed|2026-05-26|per_term|6,30,native,rolling_observed,2026-05-26,per_term,6,observed_seller_data,10,10,1,False
30|native|rolling_observed|2026-05-26|per_term|12,30,native,rolling_observed,2026-05-26,per_term,12,observed_seller_data,10,10,1,False
30|native|rolling_observed|2026-05-26|per_term|24,30,native,rolling_observed,2026-05-26,per_term,24,observed_seller_data,10,10,1,False
30|native|rolling_observed|2026-05-27|pooled|all,30,native,rolling_observed,2026-05-27,pooled,all,observed_seller_data,33,11,3,False
30|native|rolling_observed|2026-05-27|per_term|6,30,native,rolling_observed,2026-05-27,per_term,6,observed_seller_data,11,11,1,False
30|native|rolling_observed|2026-05-27|per_term|12,30,native,rolling_observed,2026-05-27,per_term,12,observed_seller_data,11,11,1,False
30|native|rolling_observed|2026-05-27|per_term|24,30,native,rolling_observed,2026-05-27,per_term,24,observed_seller_data,11,11,1,False
30|native|rolling_observed|2026-05-28|pooled|all,30,native,rolling_observed,2026-05-28,pooled,all,observed_seller_data,36,12,3,False
30|native|rolling_observed|2026-05-28|per_term|6,30,native,rolling_observed,2026-05-28,per_term,6,observed_seller_data,12,12,1,False
30|native|rolling_observed|2026-05-28|per_term|12,30,native,rolling_observed,2026-05-28,per_term,12,observed_seller_data,12,12,1,False
30|native|rolling_observed|2026-05-28|per_term|24,30,native,rolling_observed,2026-05-28,per_term,24,observed_seller_data,12,12,1,False
30|native|rolling_observed|2026-05-29|pooled|all,30,native,rolling_observed,2026-05-29,pooled,all,observed_seller_data,39,13,3,False
30|native|rolling_observed|2026-05-29|per_term|6,30,native,rolling_observed,2026-05-29,per_term,6,observed_seller_data,13,13,1,False
30|native|rolling_observed|2026-05-29|per_term|12,30,native,rolling_observed,2026-05-29,per_term,12,observed_seller_data,13,13,1,False
30|native|rolling_observed|2026-05-29|per_term|24,30,native,rolling_observed,2026-05-29,per_term,24,observed_seller_data,13,13,1,False
30|native|rolling_observed|2026-05-30|pooled|all,30,native,rolling_observed,2026-05-30,pooled,all,observed_seller_data,42,14,3,False
30|native|rolling_observed|2026-05-30|per_term|6,30,native,rolling_observed,2026-05-30,per_term,6,observed_seller_data,14,14,1,False
30|native|rolling_observed|2026-05-30|per_term|12,30,native,rolling_observed,2026-05-30,per_term,12,observed_seller_data,14,14,1,False
30|native|rolling_observed|2026-05-30|per_term|24,30,native,rolling_observed,2026-05-30,per_term,24,observed_seller_data,14,14,1,False
30|native|rolling_observed|2026-05-31|pooled|all,30,native,rolling_observed,2026-05-31,pooled,all,observed_seller_data,45,15,3,False
30|native|rolling_observed|2026-05-31|per_term|6,30,native,rolling_observed,2026-05-31,per_term,6,observed_seller_data,15,15,1,False
30|native|rolling_observed|2026-05-31|per_term|12,30,native,rolling_observed,2026-05-31,per_term,12,observed_seller_data,15,15,1,False
30|native|rolling_observed|2026-05-31|per_term|24,30,native,rolling_observed,2026-05-31,per_term,24,observed_seller_data,15,15,1,False
30|native|rolling_observed|2026-06-01|pooled|all,30,native,rolling_observed,2026-06-01,pooled,all,observed_seller_data,48,16,3,False
30|native|rolling_observed|2026-06-01|per_term|6,30,native,rolling_observed,2026-06-01,per_term,6,observed_seller_data,16,16,1,False
30|native|rolling_observed|2026-06-01|per_term|12,30,native,rolling_observed,2026-06-01,per_term,12,observed_seller_data,16,16,1,False
