panel,supplier,term,basis,horizon_days,start_dates_with_target_in_study,exact_pairs,unchanged_endpoints,changed_endpoints,complete_daily_windows,no_observed_change_complete,observed_change_complete,returned_to_start_complete,series_with_pairs,series_with_complete_windows,p_unchanged_endpoints,p_no_observed_change_complete,exact_pair_selection_rate
same_id,Hehku Energia Oy,24,canonical_calculation,14,68,49,49,0,49,49,0,0,2,2,1.0,1.0,0.7205882352941176
same_id,Hehku Energia Oy,24,canonical_calculation,30,36,17,17,0,17,17,0,0,2,2,1.0,1.0,0.4722222222222222
same_id,Hehku Energia Oy,24,canonical_calculation,45,8,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Hehku Energia Oy,24,canonical_calculation,60,0,0,0,0,0,0,0,0,0,0,,,
same_id,Hehku Energia Oy,24,canonical_calculation,90,0,0,0,0,0,0,0,0,0,0,,,
same_id,Hehku Energia Oy,24,observed_seller_data,7,221,134,134,0,134,134,0,0,8,8,1.0,1.0,0.6063348416289592
same_id,Hehku Energia Oy,24,observed_seller_data,14,221,83,83,0,83,83,0,0,6,6,1.0,1.0,0.3755656108597285
same_id,Hehku Energia Oy,24,observed_seller_data,30,221,12,12,0,12,12,0,0,1,1,1.0,1.0,0.05429864253393665
same_id,Hehku Energia Oy,24,observed_seller_data,45,221,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Hehku Energia Oy,24,observed_seller_data,60,199,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Hehku Energia Oy,24,observed_seller_data,90,138,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Helen Oy,6,canonical_calculation,7,40,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Helen Oy,6,canonical_calculation,14,33,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Helen Oy,6,canonical_calculation,30,17,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Helen Oy,6,canonical_calculation,45,3,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Helen Oy,6,canonical_calculation,60,0,0,0,0,0,0,0,0,0,0,,,
same_id,Helen Oy,6,canonical_calculation,90,0,0,0,0,0,0,0,0,0,0,,,
same_id,Helen Oy,6,observed_seller_data,7,110,11,11,0,11,11,0,0,3,3,1.0,1.0,0.1
same_id,Helen Oy,6,observed_seller_data,14,110,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Helen Oy,6,observed_seller_data,30,110,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Helen Oy,6,observed_seller_data,45,110,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Helen Oy,6,observed_seller_data,60,99,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Helen Oy,6,observed_seller_data,90,69,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Helen Oy,12,canonical_calculation,7,40,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Helen Oy,12,canonical_calculation,14,33,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Helen Oy,12,canonical_calculation,30,17,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Helen Oy,12,canonical_calculation,45,3,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Helen Oy,12,canonical_calculation,60,0,0,0,0,0,0,0,0,0,0,,,
same_id,Helen Oy,12,canonical_calculation,90,0,0,0,0,0,0,0,0,0,0,,,
same_id,Helen Oy,12,observed_seller_data,7,110,25,25,0,25,25,0,0,3,3,1.0,1.0,0.22727272727272727
same_id,Helen Oy,12,observed_seller_data,14,110,10,10,0,10,10,0,0,1,1,1.0,1.0,0.09090909090909091
same_id,Helen Oy,12,observed_seller_data,30,110,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Helen Oy,12,observed_seller_data,45,110,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Helen Oy,12,observed_seller_data,60,99,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Helen Oy,12,observed_seller_data,90,69,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Helen Oy,24,canonical_calculation,7,40,7,7,0,7,7,0,0,1,1,1.0,1.0,0.175
same_id,Helen Oy,24,canonical_calculation,14,33,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Helen Oy,24,canonical_calculation,30,17,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Helen Oy,24,canonical_calculation,45,3,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Helen Oy,24,canonical_calculation,60,0,0,0,0,0,0,0,0,0,0,,,
same_id,Helen Oy,24,canonical_calculation,90,0,0,0,0,0,0,0,0,0,0,,,
same_id,Helen Oy,24,observed_seller_data,7,110,18,18,0,18,18,0,0,4,4,1.0,1.0,0.16363636363636364
same_id,Helen Oy,24,observed_seller_data,14,110,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Helen Oy,24,observed_seller_data,30,110,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Helen Oy,24,observed_seller_data,45,110,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Helen Oy,24,observed_seller_data,60,99,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Helen Oy,24,observed_seller_data,90,69,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Imatran Seudun Sähkö Oy,6,canonical_calculation,7,41,1,1,0,1,1,0,0,1,1,1.0,1.0,0.024390243902439025
same_id,Imatran Seudun Sähkö Oy,6,canonical_calculation,14,34,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Imatran Seudun Sähkö Oy,6,canonical_calculation,30,18,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Imatran Seudun Sähkö Oy,6,canonical_calculation,45,3,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Imatran Seudun Sähkö Oy,6,canonical_calculation,60,0,0,0,0,0,0,0,0,0,0,,,
same_id,Imatran Seudun Sähkö Oy,6,canonical_calculation,90,0,0,0,0,0,0,0,0,0,0,,,
same_id,Imatran Seudun Sähkö Oy,6,observed_seller_data,7,110,51,51,0,51,51,0,0,6,6,1.0,1.0,0.4636363636363636
same_id,Imatran Seudun Sähkö Oy,6,observed_seller_data,14,110,22,22,0,22,22,0,0,3,3,1.0,1.0,0.2
same_id,Imatran Seudun Sähkö Oy,6,observed_seller_data,30,110,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Imatran Seudun Sähkö Oy,6,observed_seller_data,45,110,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Imatran Seudun Sähkö Oy,6,observed_seller_data,60,99,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Imatran Seudun Sähkö Oy,6,observed_seller_data,90,69,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Imatran Seudun Sähkö Oy,12,canonical_calculation,7,42,10,10,0,10,10,0,0,4,4,1.0,1.0,0.23809523809523808
same_id,Imatran Seudun Sähkö Oy,12,canonical_calculation,14,35,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Imatran Seudun Sähkö Oy,12,canonical_calculation,30,19,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Imatran Seudun Sähkö Oy,12,canonical_calculation,45,4,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Imatran Seudun Sähkö Oy,12,canonical_calculation,60,0,0,0,0,0,0,0,0,0,0,,,
same_id,Imatran Seudun Sähkö Oy,12,canonical_calculation,90,0,0,0,0,0,0,0,0,0,0,,,
same_id,Imatran Seudun Sähkö Oy,12,observed_seller_data,7,110,43,43,0,43,43,0,0,6,6,1.0,1.0,0.39090909090909093
same_id,Imatran Seudun Sähkö Oy,12,observed_seller_data,14,110,9,9,0,9,9,0,0,3,3,1.0,1.0,0.08181818181818182
same_id,Imatran Seudun Sähkö Oy,12,observed_seller_data,30,110,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Imatran Seudun Sähkö Oy,12,observed_seller_data,45,110,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Imatran Seudun Sähkö Oy,12,observed_seller_data,60,99,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Imatran Seudun Sähkö Oy,12,observed_seller_data,90,69,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Imatran Seudun Sähkö Oy,24,canonical_calculation,7,41,7,7,0,7,7,0,0,2,2,1.0,1.0,0.17073170731707318
same_id,Imatran Seudun Sähkö Oy,24,canonical_calculation,14,34,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Imatran Seudun Sähkö Oy,24,canonical_calculation,30,18,0,0,0,0,0,0,0,0,0,,,0.0
