status,contract,kwh,v2_segment,v3_segment,pair_days,first_date,last_date,reasons
lost,sk027a-hehku-energia-oy-hehku-jatkuva,18000,open_ended,open_ended,7,2026-08-05,2026-08-11,"{""canonical_outcome_not_listed"": 7}"
lost,w4k6um-keravan-energia-oy-perusfiksu-24kk,2000,hybrid,hybrid,3,2026-09-09,2026-09-11,"{""canonical_outcome_not_listed"": 3}"
lost,w4k6um-keravan-energia-oy-perusfiksu-24kk,5000,hybrid,hybrid,3,2026-09-09,2026-09-11,"{""canonical_outcome_not_listed"": 3}"
lost,w4k6um-keravan-energia-oy-perusfiksu-24kk,18000,hybrid,hybrid,3,2026-09-09,2026-09-11,"{""canonical_outcome_not_listed"": 3}"
lost,whniel-vihrea-alyenergia-oy-vankka-kiintea-3kk-fossiilivapaa,2000,fixed_term_below6,fixed_term_below6,26,2026-04-16,2026-05-11,"{""canonical_outcome_not_listed"": 26}"
lost,whniel-vihrea-alyenergia-oy-vankka-kiintea-3kk-fossiilivapaa,5000,fixed_term_below6,fixed_term_below6,26,2026-04-16,2026-05-11,"{""canonical_outcome_not_listed"": 26}"
lost,x5t18z-helen-oy-helpposahko-m,2000,open_ended,open_ended,1,2026-07-23,2026-07-23,"{""canonical_outcome_not_listed"": 1}"
lost,xam9ev-hehku-energia-oy-hehku-jatkuva,2000,open_ended,open_ended,8,2026-09-09,2026-09-16,"{""canonical_outcome_not_listed"": 8}"
lost,xam9ev-hehku-energia-oy-hehku-jatkuva,5000,open_ended,open_ended,8,2026-09-09,2026-09-16,"{""canonical_outcome_not_listed"": 8}"
lost,xam9ev-hehku-energia-oy-hehku-jatkuva,18000,open_ended,open_ended,8,2026-09-09,2026-09-16,"{""canonical_outcome_not_listed"": 8}"
lost,xlclt2-sahkotytot-oy-porssisahko-tarjous-ilmainen-perusmaksu-ensimmaiset-3kk,2000,spot,spot,58,2026-07-25,2026-09-20,"{""exact_date_components_unavailable"": 58}"
lost,xlclt2-sahkotytot-oy-porssisahko-tarjous-ilmainen-perusmaksu-ensimmaiset-3kk,5000,spot,spot,58,2026-07-25,2026-09-20,"{""exact_date_components_unavailable"": 58}"
lost,xlclt2-sahkotytot-oy-porssisahko-tarjous-ilmainen-perusmaksu-ensimmaiset-3kk,18000,spot,spot,58,2026-07-25,2026-09-20,"{""exact_date_components_unavailable"": 58}"
lost,ychtcj-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa,2000,fixed_term_below6,fixed_term_below6,54,2026-02-13,2026-04-07,"{""canonical_outcome_not_listed"": 54}"
lost,ychtcj-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa,5000,fixed_term_below6,fixed_term_below6,54,2026-02-13,2026-04-07,"{""canonical_outcome_not_listed"": 54}"
lost,ychtcj-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa,18000,fixed_term_below6,fixed_term_below6,54,2026-02-13,2026-04-07,"{""canonical_outcome_not_listed"": 54}"
lost,ztawud-turku-energia-oy-louna-helppo-s,2000,open_ended,open_ended,1,2026-07-23,2026-07-23,"{""canonical_outcome_not_listed"": 1}"
lost,ztawud-turku-energia-oy-louna-helppo-s,5000,open_ended,open_ended,1,2026-07-23,2026-07-23,"{""canonical_outcome_not_listed"": 1}"
lost,ztawud-turku-energia-oy-louna-helppo-s,18000,open_ended,open_ended,1,2026-07-23,2026-07-23,"{""canonical_outcome_not_listed"": 1}"
new,1maegh-helen-oy-maaraaikainen-perussahko-6-kk,2000,,fixed_term_6,6,2026-01-21,2026-01-26,"{""null"": 6}"
new,1maegh-helen-oy-maaraaikainen-perussahko-6-kk,5000,,fixed_term_6,6,2026-01-21,2026-01-26,"{""null"": 6}"
new,1maegh-helen-oy-maaraaikainen-perussahko-6-kk,18000,,fixed_term_6,6,2026-01-21,2026-01-26,"{""null"": 6}"
new,1ucmby-cheap-energy-finland-oy-cheap-kvartaalisahko,2000,,quarterly,1,2026-07-23,2026-07-23,"{""null"": 1}"
new,1ucmby-cheap-energy-finland-oy-cheap-kvartaalisahko,5000,,quarterly,1,2026-07-23,2026-07-23,"{""null"": 1}"
new,1ucmby-cheap-energy-finland-oy-cheap-kvartaalisahko,18000,,quarterly,1,2026-07-23,2026-07-23,"{""null"": 1}"
new,2le6zk-vaasan-sahko-myynti-oy-kiintea-6-kk-yosahko,2000,,fixed_term_6,7,2026-01-29,2026-02-04,"{""null"": 7}"
new,2le6zk-vaasan-sahko-myynti-oy-kiintea-6-kk-yosahko,5000,,fixed_term_6,7,2026-01-29,2026-02-04,"{""null"": 7}"
new,2le6zk-vaasan-sahko-myynti-oy-kiintea-6-kk-yosahko,18000,,fixed_term_6,7,2026-01-29,2026-02-04,"{""null"": 7}"
new,3gim4o-vattenfall-oy-ilmasto-mix-6-kk,2000,,fixed_term_6,9,2026-02-17,2026-02-25,"{""null"": 9}"
new,3gim4o-vattenfall-oy-ilmasto-mix-6-kk,5000,,fixed_term_6,9,2026-02-17,2026-02-25,"{""null"": 9}"
new,3gim4o-vattenfall-oy-ilmasto-mix-6-kk,18000,,fixed_term_6,9,2026-02-17,2026-02-25,"{""null"": 9}"
new,3hwag5-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk-0-kuukausimaksu-ensimmaiset-3-kuukautta,2000,,fixed_term_6,2,2026-01-28,2026-01-29,"{""null"": 2}"
new,3hwag5-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk-0-kuukausimaksu-ensimmaiset-3-kuukautta,5000,,fixed_term_6,2,2026-01-28,2026-01-29,"{""null"": 2}"
new,3hwag5-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk-0-kuukausimaksu-ensimmaiset-3-kuukautta,18000,,fixed_term_6,2,2026-01-28,2026-01-29,"{""null"": 2}"
new,3sivst-helen-oy-helpposahko-s,2000,,open_ended,3,2026-07-24,2026-07-26,"{""null"": 3}"
new,4wrivc-vattenfall-oy-ilmasto-mix-6-kk,2000,,fixed_term_6,6,2026-01-29,2026-02-03,"{""null"": 6}"
new,4wrivc-vattenfall-oy-ilmasto-mix-6-kk,5000,,fixed_term_6,6,2026-01-29,2026-02-03,"{""null"": 6}"
new,4wrivc-vattenfall-oy-ilmasto-mix-6-kk,18000,,fixed_term_6,6,2026-01-29,2026-02-03,"{""null"": 6}"
