company,term,issue_date,target_date,current,actual,market_current,hedge,trade_date,supplier_history_n,supplier_history_observed,supplier_history_canonical,supplier_history_unique_levels,supplier_history_median_changes,supplier_history_curve_failures,supplier_history_missing_dates,supplier_history_last_date,market_history_n,market_history_observed,market_history_canonical,market_history_unique_levels,market_history_median_changes,market_history_curve_failures,market_history_missing_dates,market_history_last_date,reasons,supplier_premium,market_premium,supplier_forecast,unchanged_forecast,pooled_forecast,supplier_ae,unchanged_ae,pooled_ae
Vihreä Älyenergia Oy,12,2026-08-04,2026-09-03,10.74,11.49,10.925,8.728779438356165,2026-08-03,117,109,8,3,3,1,0,2026-08-03,117,109,8,41,42,1,0,2026-08-03,,1.917639501241182,1.9527780433848012,10.711925681879205,10.74,10.66696724452229,0.7780743181207956,0.75,0.8230327554777102
Vihreä Älyenergia Oy,12,2026-08-05,2026-09-04,10.74,11.49,10.99,8.838225753424656,2026-08-04,118,109,9,3,3,1,0,2026-08-04,118,109,9,42,43,1,0,2026-08-04,,1.9410347663418452,2.01363867294956,10.75177815592995,10.74,10.698559327912264,0.7382218440700505,0.75,0.7914406720877363
Vihreä Älyenergia Oy,12,2026-08-06,2026-09-05,10.74,11.49,10.99,8.654765383561644,2026-08-05,119,109,10,3,3,1,0,2026-08-05,119,109,10,42,44,1,0,2026-08-05,,1.93121963640022,2.048172566356006,10.69379550598856,10.74,10.653881384975296,0.796204494011441,0.75,0.836118615024704
Vihreä Älyenergia Oy,12,2026-08-07,2026-09-06,11.49,11.49,11.29,8.644147739726026,2026-08-06,120,109,11,3,3,1,0,2026-08-06,120,109,11,42,44,1,0,2026-08-06,,1.9697233814097541,2.1199380788765936,11.227161336340734,11.49,11.332225745580786,0.26283866365926656,0.0,0.15777425441921444
Vihreä Älyenergia Oy,12,2026-08-08,2026-09-07,11.49,11.49,11.29,8.630679698630136,2026-08-07,121,109,12,4,4,1,0,2026-08-07,121,109,12,43,45,1,0,2026-08-07,,2.188755601125809,2.2514166242259384,11.288830589926784,11.49,11.367628896856823,0.20116941007321643,0.0,0.1223711031431769
Vihreä Älyenergia Oy,12,2026-08-09,2026-09-08,11.49,11.49,11.29,8.630679698630136,2026-08-07,122,109,13,4,4,1,0,2026-08-08,122,109,13,43,45,1,0,2026-08-08,,2.356396776186823,2.3533925435119194,11.339122942445087,11.49,11.398221672642617,0.1508770575549132,0.0,0.09177832735738356
Vihreä Älyenergia Oy,12,2026-08-10,2026-09-09,11.49,11.49,11.29,8.630679698630136,2026-08-07,123,109,14,4,4,1,0,2026-08-09,123,109,14,43,45,1,0,2026-08-09,,2.4821276574825832,2.4298744829764054,11.376842206833816,11.49,11.421166254481962,0.11315779316618446,0.0,0.06883374551803811
Vihreä Älyenergia Oy,12,2026-08-11,2026-09-10,11.49,11.49,11.2,8.748859438356163,2026-08-10,124,109,15,4,4,1,0,2026-08-10,124,109,15,43,45,1,0,2026-08-10,,2.5764258184544033,2.48723593757477,11.44058557704317,11.49,11.50082861277928,0.04941442295683096,0.0,0.010828612779279823
Vihreä Älyenergia Oy,12,2026-08-12,2026-09-11,11.49,11.49,11.29,8.705082287671232,2026-08-11,125,109,16,4,4,1,0,2026-08-11,125,109,16,44,46,1,0,2026-08-11,,2.6176045042517617,2.4782120935920364,11.439806037576899,11.49,11.45798831437898,0.05019396242310137,0.0,0.03201168562102019
Vihreä Älyenergia Oy,12,2026-08-13,2026-09-12,11.49,11.49,11.29,8.724316452054794,2026-08-12,126,109,17,4,4,1,0,2026-08-12,126,109,17,44,47,1,0,2026-08-12,,2.6594328062710133,2.504888498276219,11.458124777497742,11.49,11.471761485099304,0.03187522250225783,0.0,0.0182385149006965
Vihreä Älyenergia Oy,12,2026-08-14,2026-09-13,11.49,11.49,11.29,8.579424123287671,2026-08-13,127,109,18,4,4,1,0,2026-08-13,127,109,18,44,47,1,0,2026-08-13,,2.6859954916895616,2.5200872606934657,11.42262588449317,11.49,11.43285341519434,0.06737411550682992,0.0,0.05714658480565937
Vihreä Älyenergia Oy,24,2026-07-27,2026-08-26,10.39,11.14,9.59,7.456499233926127,2026-07-24,109,109,0,2,1,1,0,2026-07-26,109,109,0,30,42,1,0,2026-07-26,,2.7024828211153205,2.0990140960896744,10.320694616512435,10.39,10.379653999004741,0.8193053834875652,0.75,0.7603460009952592
Vihreä Älyenergia Oy,24,2026-07-28,2026-08-27,10.39,11.14,9.64,7.337356641586867,2026-07-27,110,109,1,2,1,1,0,2026-07-27,110,109,1,30,42,1,0,2026-07-27,,2.7602373073549584,2.1076357635857237,10.302278184682548,10.39,10.331497721551777,0.8377218153174528,0.75,0.8085022784482234
Vihreä Älyenergia Oy,24,2026-07-29,2026-08-28,10.39,11.14,9.75,7.273444350205198,2026-07-28,111,109,2,2,1,1,0,2026-07-28,111,109,2,31,43,1,0,2026-07-28,,2.833338820119502,2.156387662292576,10.30503495109741,10.39,10.293949603749333,0.8349650489025908,0.75,0.8460503962506678
Vihreä Älyenergia Oy,24,2026-07-30,2026-08-29,10.39,11.14,9.69,7.420560909712721,2026-07-29,112,109,3,2,1,1,0,2026-07-29,112,109,3,32,44,1,0,2026-07-29,,2.904143027538327,2.2364296591681327,10.370411181175315,10.39,10.380097170664257,0.7695888188246851,0.75,0.7599028293357435
Vihreä Älyenergia Oy,24,2026-07-31,2026-08-30,10.39,11.14,9.719999999999999,7.412508994528044,2026-07-30,113,109,4,2,1,1,0,2026-07-30,113,109,4,33,45,1,0,2026-07-30,,2.9204670432255653,2.244682016947919,10.372892811326082,10.39,10.37115730344279,0.7671071886739185,0.75,0.7688426965572113
Vihreä Älyenergia Oy,24,2026-08-01,2026-08-31,10.39,11.14,9.75,7.608965424076606,2026-07-31,114,109,5,2,1,1,0,2026-07-31,114,109,5,34,46,1,0,2026-07-31,,2.9347230337871633,2.260384264078928,10.436106537359132,10.39,10.425804906446661,0.7038934626408686,0.75,0.7141950935533394
