basis,support,cohort,model,term,n,issue_days,first_issue,last_issue,mae,rmse,bias,correct,wrong_way,missed_move,false_move,actual_up,actual_flat,actual_down,predicted_up,predicted_flat,predicted_down
observed_seller_data,common,native_eligible,lag_30,24,39,39,2026-05-19,2026-06-26,0.19233333333333347,0.2682767562587524,-0.1538974358974364,23,0,16,0,16,23,0,0,39,0
observed_seller_data,common,native_eligible,lag_30,all,117,39,2026-05-19,2026-06-26,0.5286521367521368,0.7671539385186102,-0.4603700854700857,41,0,73,3,67,40,10,4,110,3
observed_seller_data,common,intersection,lag_0,6,39,39,2026-05-19,2026-06-26,1.2093999999999998,1.30664865777752,-1.2093999999999998,3,5,28,3,36,3,0,3,28,8
observed_seller_data,common,intersection,lag_0,12,39,39,2026-05-19,2026-06-26,0.25162051282051295,0.3218137891262506,-0.12529230769230792,14,0,25,0,15,14,10,0,39,0
observed_seller_data,common,intersection,lag_0,24,39,39,2026-05-19,2026-06-26,0.1996153846153846,0.2810627450706812,-0.17723076923076958,23,0,16,0,16,23,0,0,39,0
observed_seller_data,common,intersection,lag_0,all,117,39,2026-05-19,2026-06-26,0.5535452991452993,0.7937025253855621,-0.5039743589743592,40,5,69,3,67,40,10,3,106,8
observed_seller_data,common,intersection,unchanged,6,39,39,2026-05-19,2026-06-26,1.1407102564102563,1.2835555472282894,-1.1407102564102563,3,0,36,0,36,3,0,0,39,0
observed_seller_data,common,intersection,unchanged,12,39,39,2026-05-19,2026-06-26,0.2390974358974359,0.30843993555659077,-0.09463589743589751,14,0,25,0,15,14,10,0,39,0
observed_seller_data,common,intersection,unchanged,24,39,39,2026-05-19,2026-06-26,0.1907384615384615,0.2677435014414031,-0.16112820512820525,23,0,16,0,16,23,0,0,39,0
observed_seller_data,common,intersection,unchanged,all,117,39,2026-05-19,2026-06-26,0.5235153846153846,0.7776753005444644,-0.46549145299145306,40,0,77,0,67,40,10,0,117,0
observed_seller_data,common,intersection,always_up,6,39,39,2026-05-19,2026-06-26,,,,36,0,0,3,36,3,0,39,0,0
observed_seller_data,common,intersection,always_up,12,39,39,2026-05-19,2026-06-26,,,,15,10,0,14,15,14,10,39,0,0
observed_seller_data,common,intersection,always_up,24,39,39,2026-05-19,2026-06-26,,,,16,0,0,23,16,23,0,39,0,0
observed_seller_data,common,intersection,always_up,all,117,39,2026-05-19,2026-06-26,,,,67,10,0,40,67,40,10,117,0,0
observed_seller_data,common,intersection,always_down,6,39,39,2026-05-19,2026-06-26,,,,0,36,0,3,36,3,0,0,0,39
observed_seller_data,common,intersection,always_down,12,39,39,2026-05-19,2026-06-26,,,,10,15,0,14,15,14,10,0,0,39
observed_seller_data,common,intersection,always_down,24,39,39,2026-05-19,2026-06-26,,,,0,16,0,23,16,23,0,0,0,39
observed_seller_data,common,intersection,always_down,all,117,39,2026-05-19,2026-06-26,,,,10,67,0,40,67,40,10,0,0,117
observed_seller_data,common,intersection,lag_7,6,39,39,2026-05-19,2026-06-26,1.1829307692307693,1.2911111031856366,-1.1829307692307693,1,0,35,3,36,3,0,1,35,3
observed_seller_data,common,intersection,lag_7,12,39,39,2026-05-19,2026-06-26,0.23265641025641015,0.3107950639808678,-0.10451794871794871,14,0,25,0,15,14,10,0,39,0
observed_seller_data,common,intersection,lag_7,24,39,39,2026-05-19,2026-06-26,0.19549487179487196,0.2769626786854423,-0.16539230769230806,23,0,16,0,16,23,0,0,39,0
observed_seller_data,common,intersection,lag_7,all,117,39,2026-05-19,2026-06-26,0.5370273504273505,0.7832134187539431,-0.484280341880342,38,0,76,3,67,40,10,1,113,3
